155 data points received.

Start
10000	1.4234e-06
20000	1.9932e-06
30000	1.5993e-06
40000	1.7056e-06
50000	2.1151e-06
60000	1.6177e-06
70000	1.9978e-06
80000	1.7018e-06
90000	1.6638e-06
100000	1.7329e-06
200000	2.5206e-06
300000	2.8022e-06
400000	4.4668e-06
500000	5.4649e-06
600000	4.3049e-06
700000	3.0146e-06
800000	7.1783e-06
900000	4.4722e-06
1000000	5.5055e-06
2000000	5.1204e-06
3000000	6.0552e-06
4000000	7.2792e-06
5000000	6.3218e-06
6000000	6.0549e-06
7000000	5.2550e-06
8000000	7.8023e-06
9000000	1.3877e-05
10000000	1.5038e-05
11000000	1.2500e-05
12000000	1.0740e-05
13000000	1.3873e-05
14000000	1.8159e-05
15000000	1.2494e-05
16000000	7.0267e-06
17000000	1.0246e-05
18000000	1.1256e-05
19000000	9.4288e-06
20000000	1.2430e-05
21000000	1.2390e-05
22000000	1.4097e-05
23000000	6.6691e-06
24000000	6.7542e-06
25000000	6.2729e-06
26000000	1.0089e-05
27000000	1.7442e-05
28000000	1.1410e-05
29000000	8.2941e-06
30000000	1.1475e-05
31000000	1.2000e-05
32000000	1.3000e-05
33000000	6.0000e-06
34000000	9.0000e-06
35000000	1.8000e-05
36000000	1.5000e-05
37000000	1.2000e-05
38000000	1.8000e-05
39000000	1.8000e-05
40000000	1.1000e-05
41000000	1.5000e-05
42000000	1.4000e-05
43000000	1.5000e-05
44000000	1.4000e-05
45000000	1.1000e-05
46000000	3.9200e-04
47000000	8.0000e-06
48000000	9.0000e-06
49000000	2.4000e-05
50000000	1.9000e-05
51000000	8.0000e-06
52000000	7.0000e-06
53000000	1.3000e-05
54000000	1.9000e-05
55000000	1.8000e-05
56000000	1.7000e-05
57000000	1.2000e-05
58000000	1.5000e-05
59000000	1.2000e-05
60000000	1.3000e-05
61000000	1.4000e-05
62000000	1.4000e-05
63000000	1.8000e-05
64000000	2.8000e-05
65000000	2.7000e-05
66000000	2.4000e-05
67000000	2.4000e-05
68000000	2.5000e-05
69000000	7.4000e-05
70000000	3.8000e-05
71000000	4.0000e-05
72000000	4.2000e-05
73000000	1.7000e-05
74000000	1.3000e-05
75000000	1.2000e-05
76000000	2.9000e-05
77000000	6.5000e-05
78000000	2.7000e-05
79000000	3.5000e-05
80000000	4.9000e-05
81000000	3.7000e-05
82000000	3.2000e-05
83000000	3.7000e-05
84000000	2.0000e-05
85000000	2.4000e-05
86000000	1.7000e-05
87000000	1.1000e-05
88000000	1.6000e-05
89000000	2.3000e-05
90000000	2.8000e-05
91000000	2.9000e-05
92000000	1.2000e-05
93000000	1.4000e-05
94000000	1.2000e-05
95000000	2.2000e-05
96000000	1.8000e-05
97000000	1.3000e-05
98000000	9.0000e-06
99000000	1.0000e-05
100000000	5.9000e-05
101000000	3.0000e-05
102000000	2.2000e-05
103000000	2.0000e-05
104000000	2.8000e-05
105000000	3.8000e-05
106000000	2.8000e-05
107000000	1.4000e-05
108000000	2.0000e-05
109000000	5.6000e-05
110000000	2.9000e-05
111000000	3.0000e-05
112000000	3.8000e-05
113000000	2.8000e-05
114000000	3.4000e-05
115000000	2.9000e-05
116000000	2.0000e-05
117000000	3.1000e-05
118000000	2.0000e-05
119000000	3.8000e-05
120000000	4.2000e-05
121000000	4.5000e-05
122000000	5.2000e-05
123000000	4.5000e-05
124000000	3.0000e-05
125000000	5.4000e-05
126000000	6.2000e-05
127000000	7.8000e-05
128000000	4.1000e-05
129000000	6.0000e-05
130000000	7.8000e-05
131000000	5.9000e-05
132000000	4.4000e-05
133000000	6.6000e-05
134000000	3.9000e-05
135000000	3.6000e-05
136000000	4.0000e-05
137000000	4.1000e-05
End
